ID,Response,RT,Type,characterlist
sub-1,0,2.803980006,affiliation,Olivia
sub-1,0,8.327347221,affiliation,Olivia
sub-1,0,11.988,affiliation,Newcomb
sub-1,0,4.463432465,affiliation,Peter
sub-1,0,6.054203441,affiliation,Anthony
sub-1,0,9.112478262,affiliation,Anthony
sub-1,0,6.916886694,affiliation,Anthony
sub-1,0,5.893271268,affiliation,Newcomb
sub-1,0,7.270179908,affiliation,Anthony
sub-10,0,2.916629671,affiliation,Olivia
sub-10,0,3.281177614,affiliation,Peter
sub-10,0,1.898633503,affiliation,Olivia
sub-10,0,4.898747046,affiliation,Newcomb
sub-10,0,2.462013789,affiliation,Peter
sub-10,0,5.252780298,affiliation,Anthony
sub-10,0,4.782316391,affiliation,Anthony
sub-10,0,3.594153185,affiliation,Hayworth
sub-10,0,6.785899687,affiliation,Hayworth
sub-10,0,6.437583063,affiliation,Peter
sub-10,0,6.68378282,affiliation,Hayworth
sub-10,0,8.144782835,affiliation,Newcomb
sub-10,0,2.620102633,affiliation,Anthony
sub-11,0,3.552052303,affiliation,Olivia
sub-11,0,4.568068884,affiliation,Peter
sub-11,0,3.772151417,affiliation,Olivia
sub-11,0,4.596508525,affiliation,Newcomb
sub-11,0,7.089469579,affiliation,Olivia
sub-11,0,5.998865983,affiliation,Peter
sub-11,0,6.004215892,affiliation,Peter
sub-11,0,5.923587486,affiliation,Anthony
sub-11,0,3.841370539,affiliation,Hayworth
sub-11,0,6.575144503,affiliation,Hayworth
sub-11,0,5.940705996,affiliation,Newcomb
sub-11,0,5.408062453,affiliation,Anthony
sub-12,0,3.950911092,affiliation,Olivia
sub-12,0,4.524233269,affiliation,Olivia
sub-12,0,2.926341779,affiliation,Peter
sub-12,0,5.341658627,affiliation,Anthony
sub-12,0,4.738818859,affiliation,Hayworth
sub-12,0,5.522182094,affiliation,Hayworth
sub-12,0,3.781757416,affiliation,Anthony
sub-13,0,3.114876006,affiliation,Olivia
sub-13,0,11.17444928,affiliation,Olivia
sub-13,0,4.534168966,affiliation,Olivia
sub-13,0,2.048490516,affiliation,Newcomb
sub-13,0,3.889775016,affiliation,Newcomb
sub-13,0,2.881898957,affiliation,Peter
sub-13,0,6.599907403,affiliation,Peter
sub-13,0,3.638240073,affiliation,Anthony
sub-13,0,5.395331206,affiliation,Anthony
sub-13,0,3.626223935,affiliation,Anthony
sub-13,0,3.916839802,affiliation,Hayworth
sub-13,0,4.48822082,affiliation,Hayworth
sub-13,0,9.949100403,affiliation,Anthony
sub-13,0,6.622853619,affiliation,Peter
sub-13,0,4.040193784,affiliation,Newcomb
sub-13,0,5.093076148,affiliation,Anthony
sub-14,0,4.734179826,affiliation,Olivia
sub-14,0,2.714859574,affiliation,Olivia
sub-14,0,2.356458326,affiliation,Olivia
sub-14,0,3.365592171,affiliation,Olivia
sub-14,0,1.804000161,affiliation,Peter
sub-14,0,4.150687463,affiliation,Hayworth
sub-14,0,5.250767295,affiliation,Anthony
sub-14,0,3.390542311,affiliation,Hayworth
sub-14,0,5.737471509,affiliation,Hayworth
sub-14,0,2.958482843,affiliation,Peter
sub-14,0,3.390668196,affiliation,Newcomb
sub-14,0,2.995383887,affiliation,Anthony
sub-15,0,3.93630498,affiliation,Olivia
sub-15,0,8.622615955,affiliation,Olivia
sub-15,0,6.432310532,affiliation,Peter
sub-15,0,4.98113004,affiliation,Olivia
sub-15,0,4.261308083,affiliation,Olivia
sub-15,0,3.208582634,affiliation,Peter
sub-15,0,7.281286672,affiliation,Peter
sub-15,0,4.572711091,affiliation,Anthony
sub-15,0,6.710035064,affiliation,Peter
sub-15,0,5.070569646,affiliation,Peter
sub-15,0,3.340264026,affiliation,Newcomb
sub-16,0,5.999538071,affiliation,Olivia
sub-16,0,6.428550574,affiliation,Olivia
sub-16,0,4.99591105,affiliation,Olivia
sub-16,0,4.495142697,affiliation,Peter
sub-16,0,10.61254238,affiliation,Hayworth
sub-16,0,8.344106496,affiliation,Anthony
sub-16,0,7.259992821,affiliation,Hayworth
sub-16,0,11.988,affiliation,Peter
sub-16,0,9.561104341,affiliation,Newcomb
sub-17,0,5.241689516,affiliation,Olivia
sub-17,0,4.349382003,affiliation,Olivia
sub-17,0,5.172898472,affiliation,Peter
sub-17,0,8.648377467,affiliation,Anthony
sub-17,0,4.884879278,affiliation,Hayworth
sub-17,0,11.988,affiliation,Anthony
sub-17,0,9.258638065,affiliation,Hayworth
sub-17,0,6.579975006,affiliation,Newcomb
sub-17,0,11.988,affiliation,Newcomb
sub-17,0,4.903337381,affiliation,Anthony
sub-18,0,3.264701319,affiliation,Olivia
sub-18,0,4.172563838,affiliation,Peter
sub-18,0,3.376245797,affiliation,Olivia
sub-18,0,1.896333345,affiliation,Newcomb
sub-18,0,2.745018223,affiliation,Peter
sub-18,0,4.976702577,affiliation,Anthony
sub-18,0,3.300419685,affiliation,Anthony
sub-18,0,2.569622869,affiliation,Hayworth
sub-18,0,3.888717517,affiliation,Hayworth
sub-18,0,3.684306698,affiliation,Hayworth
sub-18,0,3.858382206,affiliation,Anthony
sub-19,0,2.708211475,affiliation,Olivia
sub-19,0,2.787736598,affiliation,Olivia
sub-19,0,4.049991996,affiliation,Olivia
sub-19,0,5.944585805,affiliation,Anthony
sub-19,0,3.917937089,affiliation,Anthony
sub-19,0,4.801279578,affiliation,Hayworth
sub-19,0,6.277810767,affiliation,Newcomb
sub-2,0,3.066074485,affiliation,Olivia
sub-2,0,5.107931791,affiliation,Peter
sub-2,0,3.432596906,affiliation,Newcomb
sub-2,0,3.297701832,affiliation,Olivia
sub-2,0,2.870893566,affiliation,Peter
sub-2,0,4.169178929,affiliation,Anthony
sub-2,0,4.121969853,affiliation,Anthony
sub-2,0,3.594113498,affiliation,Hayworth
sub-2,0,4.958788443,affiliation,Hayworth
sub-2,0,4.456249664,affiliation,Peter
sub-2,0,4.381666213,affiliation,Peter
sub-2,0,3.412543993,affiliation,Newcomb
sub-2,0,8.538796327,affiliation,Newcomb
sub-2,0,3.743595943,affiliation,Anthony
sub-20,0,2.613615479,affiliation,Olivia
sub-20,0,2.694244647,affiliation,Olivia
sub-20,0,2.965731219,affiliation,Peter
sub-20,0,6.31750351,affiliation,Anthony
